Latitude,Longitude
50.9327025,6.9862032
50.9326917,6.986202
50.9326892,6.9862017
50.9326857,6.9862042
50.9326747,6.9862175
50.932668,6.9862343
50.9326592,6.9862508
50.9326447,6.9862678
50.9326347,6.9862863
50.9326258,6.9863045
50.9326158,6.986323
50.9326073,6.9863418
50.932597,6.9863593
50.9325883,6.9863772
50.9325003,6.9866633
50.9324962,6.986683
50.932492,6.9867017
50.9324875,6.9867202
50.9324845,6.9867388
50.932482,6.9867572
50.9324815,6.9867752
50.9324832,6.9867862
50.9324848,6.9867878
50.9324863,6.9867878
50.9324882,6.986788
50.932489,6.986788
50.9324893,6.986788
50.9324895,6.986788
50.9324897,6.986788
50.9324897,6.9867882
50.9324907,6.9867885
50.9324928,6.9867895
50.932498,6.9867912
50.9325053,6.9867935
50.9325128,6.9867965
50.9325212,6.9868002
50.9325297,6.9868032
50.932539,6.9868058
50.9325485,6.9868083
50.9325577,6.9868105
50.9325655,6.9868132
50.9325742,6.9868157
50.9325823,6.9868187
50.9325907,6.986821
50.9325985,6.986824
50.9330345,6.9865128
50.9330378,6.9865048
50.9330412,6.9864967
50.9330443,6.9864897
50.9330475,6.9864818
50.9330507,6.9864737
50.9330535,6.9864665
50.9330562,6.9864592
50.933059,6.9864508
50.9330615,6.986443
50.9330642,6.9864353
50.9330668,6.9864268
50.933069,6.9864185
50.9330715,6.9864105
50.9330738,6.9864017
50.933076,6.9863938
50.933078,6.9863858
50.9330803,6.9863772
50.933082,6.9863685
50.9330838,6.9863602
50.9330858,6.9863515
50.9330877,6.9863422
50.9330895,6.9863327
50.9330912,6.9863235
50.9330925,6.9863135
50.9330942,6.9863038
50.9330958,6.9862938
50.933097,6.9862838
50.9330992,6.986265
50.9331,6.986255
50.9331012,6.9862452
50.933102,6.9862342
50.9331028,6.9862233
50.9331033,6.9862127
50.9331038,6.9862027
50.9331042,6.986192
50.9331043,6.9861822
50.9331047,6.9861718
50.9331047,6.986161
50.9331047,6.9861497
50.9331045,6.9861393
50.933104,6.9861282
50.933098,6.9860558
50.9330965,6.9860452
50.9330953,6.9860353
50.9330938,6.9860262
50.9330925,6.9860167
50.933091,6.9860082
50.9330893,6.9859992
50.9330877,6.9859895
50.9330855,6.9859803
50.9330838,6.985971
50.933082,6.9859623
50.9330797,6.9859542
50.9330772,6.9859448
50.9330747,6.9859363
50.9330727,6.9859287
50.9330705,6.9859205
50.9330682,6.985912
50.9330657,6.9859038
50.933063,6.985895
50.9330598,6.9858862
50.9330572,6.9858775
50.933054,6.9858692
50.9330507,6.9858605
50.9330475,6.9858518
50.9330443,6.9858428
50.9330368,6.9858253
50.9330338,6.985818
50.93303,6.9858102
50.9330262,6.9858027
50.933022,6.9857948
50.933018,6.9857868
50.9330133,6.9857788
50.9330092,6.9857715
50.933005,6.9857637
50.9330007,6.985756
50.9329967,6.9857495
50.9329925,6.9857437
50.932988,6.9857365
50.9329838,6.9857303
50.93298,6.9857242
50.9329563,6.9856933
50.9329513,6.9856875
50.9329455,6.9856812
50.9329405,6.9856758
50.9329353,6.98567
50.9329303,6.9856653
50.9329262,6.9856612
50.9329237,6.9856583
50.9329238,6.9856582
50.9329237,6.9856582
50.932923,6.9856577
50.9329198,6.9856597
50.93292,6.9856597
50.9329202,6.9856598
50.93292,6.9856603
50.9329188,6.9856637
50.9329152,6.9856762
50.9329115,6.9856897
50.932909,6.985705
50.9329072,6.9857243
50.932906,6.9857445
50.9329025,6.985785
50.9329012,6.9858027
50.9328992,6.985819
50.9328967,6.9858343
50.9328948,6.9858493
50.9328928,6.9858645
50.9328907,6.9858805
50.932889,6.9858957
50.9328883,6.9859108
50.9328897,6.985926
50.9328917,6.9859405
50.9328933,6.9859545
50.9328953,6.9859687
50.9328975,6.9859825
50.9328998,6.9859965
50.932902,6.9860105
50.9329107,6.9860692
50.932912,6.986085
50.9329137,6.986101
50.9329148,6.9861178
50.9329158,6.986134
50.9329168,6.98615
50.9329167,6.9861653
50.932916,6.986177
50.932915,6.9861807
50.9329152,6.9861808
50.9329152,6.986181
50.932915,6.9861828
50.9329145,6.986184
50.9329143,6.986184
50.9329143,6.9861842
50.9329142,6.9861843
50.9329143,6.9861843
50.9329145,6.9861842
50.9329135,6.986187
50.9329132,6.9861872
50.9329133,6.9861873
50.9329132,6.9861873
50.9329132,6.9861875
50.9329132,6.9861887
50.9329147,6.9861925
50.9329143,6.9861937
50.9329143,6.986194
50.9329143,6.9861938
50.9329143,6.9861935
50.9329137,6.9861942
50.9329135,6.986194
50.9329135,6.9861942
50.9329133,6.9861938
50.9329125,6.9861942
50.9329112,6.9861928
50.932911,6.9861937
50.9329115,6.986195
50.9329117,6.9861945
50.9329117,6.9861947
50.9329115,6.9861947
50.9329113,6.986194
50.9329115,6.9861932
50.9329115,6.9861927
50.9329112,6.9861945
50.9329107,6.9861943
50.9329105,6.9861943
50.932912,6.9861943
50.932912,6.9861945
50.9329122,6.9861945
50.9329122,6.9861947
50.9329122,6.9861948
50.9329122,6.9861943
50.9329118,6.9861945
50.9329118,6.9861947
