time_hours,meanAcc,siv,sip,pdop
0.0,18248.0,37.0,12,0.92
0.0833,17707.0,39.0,12,0.94
0.1667,18759.0,38.0,12,0.96
0.3336,19281.0,39.0,12,0.93
0.4169,19800.0,39.0,12,0.98
0.6672,19773.0,37.0,12,0.92
0.8342,22328.0,40.0,12,0.9
1.0844,24158.0,39.0,12,1.05
1.5014,27733.0,40.0,12,1.04
2.0017,25220.0,39.0,12,1.02
2.1686,23355.0,39.0,12,1.0
2.4189,22406.0,40.0,12,0.99
2.8358,21403.0,40.0,12,1.0
3.2531,21181.0,39.0,12,0.97
3.3364,20702.0,39.0,12,1.03
3.5033,20235.0,37.0,12,0.93
3.6703,20354.0,37.0,12,0.91
3.7536,19995.0,39.0,12,0.96
4.0039,18740.0,42.0,12,0.88
4.0872,18549.0,44.0,12,0.98
4.1706,18449.0,44.0,12,0.95
4.4208,18662.0,41.0,12,0.94
4.5042,18786.0,39.0,12,0.95
4.6711,18242.0,39.0,12,0.96
4.7544,17952.0,42.0,12,1.01
4.8378,17702.0,38.0,12,1.08
5.4217,13419.0,42.0,12,0.88
5.5053,12925.0,41.0,12,0.89
5.5886,12439.0,40.0,12,0.9
6.0056,10135.0,40.0,12,0.88
6.0892,9925.0,39.0,12,0.96
6.1725,9849.0,39.0,12,0.94
6.3392,9628.0,37.0,12,0.95
6.4228,9514.0,38.0,12,0.96
6.5894,8968.0,39.0,12,0.93
6.6731,8703.0,39.0,12,0.95
