time_hours,meanAcc,siv,sip,pdop
0.0,93671.0,39,12,1.03
0.1667,91962.0,37,12,0.87
0.2503,91728.0,39,12,0.87
0.5006,87728.0,36,12,0.88
0.5839,86940.0,37,12,0.91
0.8342,85150.0,37,12,0.95
0.9178,85328.0,40,12,0.81
1.0011,85657.0,41,12,0.82
1.0847,85705.0,40,12,0.84
1.1681,85604.0,39,12,0.81
1.335,85995.0,40,12,0.87
1.5019,86489.0,40,12,0.88
1.6689,87255.0,38,12,0.93
1.9197,87255.0,39,12,0.88
2.0031,87182.0,40,12,0.9
2.0867,86955.0,41,12,0.88
2.2533,86507.0,39,12,0.83
2.5036,86900.0,41,12,0.84
2.7542,87411.0,40,12,0.87
3.2547,85839.0,37,12,0.88
3.3383,85279.0,38,12,0.89
3.8389,83016.0,38,12,0.92
4.0894,81863.0,35,12,0.92
4.5067,79095.0,38,12,0.92
4.5903,78332.0,37,12,0.91
4.6736,77534.0,36,12,0.91
4.9239,74953.0,38,12,0.9
5.0075,74442.0,37,12,0.97
5.0908,73934.0,37,12,0.94
5.1744,73523.0,37,12,0.94
5.2581,73033.0,37,12,0.94
5.3414,72537.0,37,12,0.97
5.5083,71419.0,34,12,0.94
5.8422,69831.0,35,12,1.01
6.0928,68633.0,36,12,0.99
6.4264,67487.0,36,12,1.0
6.51,67082.0,36,12,0.88
6.5933,66775.0,35,12,0.83
7.0936,65386.0,39,12,0.87
7.1772,65211.0,39,12,0.92
7.4278,64798.0,38,12,0.93
7.845,64560.0,38,12,0.97
8.2622,64784.0,38,12,0.91
8.6797,65474.0,38,12,1.01
8.7631,65830.0,41,12,0.89
8.8467,66141.0,43,12,0.92
8.93,66262.0,41,12,0.99
9.0136,66377.0,41,12,0.88
9.2642,66794.0,40,12,0.88
9.4311,66819.0,42,12,0.83
9.765,66811.0,39,12,0.91
9.9319,67257.0,39,12,0.89
10.0153,67554.0,39,12,0.92
10.0989,67705.0,38,12,0.88
10.2658,68004.0,39,12,0.94
10.3492,67985.0,41,12,0.95
10.4328,67923.0,39,12,0.91
10.7667,67421.0,41,12,0.88
10.9336,67229.0,42,12,0.9
11.1839,67097.0,38,12,0.87
11.3508,66960.0,36,12,0.92
11.685,66613.0,36,12,1.02
11.8522,66520.0,34,12,1.03
12.0192,66503.0,35,12,0.92
12.6031,66000.0,39,12,0.86
12.6867,65827.0,37,12,0.91
